r b swpd free buff cache si so bi bo in cs us sy id wa st CEST
0 1 0 349 32 379 0 0 1199 36 2765 5866 28 22 45 4 0 2022-04-17T13:34:25
1 1 0 323 32 401 0 0 21108 464 11551 25701 16 25 44 15 0 2022-04-17T13:34:26
1 0 0 291 32 424 0 0 22296 4 11667 24877 20 20 44 15 0 2022-04-17T13:34:27
7 0 0 276 32 446 0 0 21600 220 10874 23207 16 13 56 15 0 2022-04-17T13:34:28
1 1 0 247 32 470 0 0 22284 0 9973 19723 34 15 36 16 0 2022-04-17T13:34:29
1 0 0 232 32 492 0 0 22144 0 10275 20441 24 10 49 16 0 2022-04-17T13:34:30
1 1 0 212 32 515 0 0 22236 64 11072 23243 8 14 61 17 0 2022-04-17T13:34:31
0 1 0 193 32 536 0 0 20644 884 10914 22441 9 16 53 23 0 2022-04-17T13:34:32
0 1 0 170 32 559 0 0 22596 0 9491 18509 4 6 72 18 0 2022-04-17T13:34:33
3 1 0 144 32 580 0 0 20900 436 11232 23864 25 22 41 12 0 2022-04-17T13:34:34
3 0 0 103 32 603 0 0 21868 4 11819 25874 36 17 35 12 0 2022-04-17T13:34:35
1 1 0 93 32 626 0 0 22216 20 10515 22005 6 15 62 17 0 2022-04-17T13:34:36
2 1 0 67 32 648 0 0 21544 204 10351 21386 43 16 30 10 0 2022-04-17T13:34:37
1 1 0 37 32 671 0 0 22212 0 9059 17992 32 10 42 16 0 2022-04-17T13:34:38
0 1 0 44 28 682 0 0 21908 0 10425 21251 27 12 45 16 0 2022-04-17T13:34:39
0 3 0 24 28 704 0 0 22216 60 10711 22301 7 9 64 20 0 2022-04-17T13:34:40
0 1 0 26 24 705 0 0 20392 856 10880 22846 12 22 47 20 0 2022-04-17T13:34:41
1 4 0 28 24 704 0 0 21484 124 10538 22754 25 14 43 18 0 2022-04-17T13:34:42
1 1 0 32 24 680 0 0 20568 432 12160 27913 40 32 16 12 0 2022-04-17T13:34:43
1 2 0 29 24 689 0 0 22320 20 11161 24156 12 17 53 18 0 2022-04-17T13:34:44
2 1 0 29 24 695 0 0 20308 696 12415 27019 15 25 37 23 0 2022-04-17T13:34:45
9 0 0 26 24 681 0 0 21240 108 12595 28038 27 27 24 22 0 2022-04-17T13:34:46
2 0 0 386 25 327 0 0 3284 2156 11434 25258 27 32 31 10 0 2022-04-17T13:34:47
3 1 0 374 25 334 0 0 6632 100 11144 23481 49 23 18 10 0 2022-04-17T13:34:48
2 1 0 351 25 348 0 0 13144 0 9681 19246 56 14 10 20 0 2022-04-17T13:34:49
3 0 0 324 25 362 0 0 13916 0 10974 23122 42 16 25 18 0 2022-04-17T13:34:50
0 1 0 348 25 375 0 0 12380 40 11622 24255 31 15 44 11 0 2022-04-17T13:34:51
2 0 0 334 25 388 0 0 12624 88 9588 19115 10 11 64 14 0 2022-04-17T13:34:52
3 0 0 322 25 397 0 0 10608 1620 11200 24158 21 23 44 12 0 2022-04-17T13:34:53
1 0 0 310 25 410 0 0 11920 0 9224 18027 33 8 47 12 0 2022-04-17T13:34:54
0 1 0 296 25 423 0 0 12588 0 8785 17049 8 4 74 14 0 2022-04-17T13:34:55
6 0 0 283 25 436 0 0 13028 0 9069 17332 8 4 73 14 0 2022-04-17T13:34:56
1 0 0 270 25 449 0 0 13136 0 8926 16696 10 3 73 14 0 2022-04-17T13:34:57
1 0 0 256 25 463 0 0 12924 0 8557 17055 8 5 73 14 0 2022-04-17T13:34:58
3 0 0 243 25 476 0 0 12664 48 8866 17428 23 5 59 13 0 2022-04-17T13:34:59
1 0 0 229 25 489 0 0 12896 0 8866 16819 14 4 68 14 0 2022-04-17T13:35:00
1 0 0 215 25 502 0 0 13168 0 9096 17218 8 3 75 14 0 2022-04-17T13:35:01
1 1 0 201 25 516 0 0 12872 0 8848 17214 13 6 68 12 0 2022-04-17T13:35:02
0 1 0 187 25 529 0 0 13200 0 9081 17252 9 4 73 14 0 2022-04-17T13:35:03
0 1 0 174 25 542 0 0 12640 20 8976 17751 18 4 65 13 0 2022-04-17T13:35:04
0 1 0 160 25 555 0 0 13208 0 8837 16960 8 4 73 14 0 2022-04-17T13:35:05
1 0 0 146 25 569 0 0 13024 0 8862 16887 8 5 73 14 0 2022-04-17T13:35:06
1 0 0 133 25 582 0 0 13204 0 8802 17005 8 3 75 15 0 2022-04-17T13:35:07
0 1 0 119 25 596 0 0 13172 0 8554 16702 9 6 72 14 0 2022-04-17T13:35:08
1 0 0 105 25 609 0 0 12676 20 8815 17644 14 4 69 13 0 2022-04-17T13:35:09
1 0 0 91 25 622 0 0 13072 0 8470 16892 8 5 73 14 0 2022-04-17T13:35:10
1 0 0 78 25 636 0 0 13160 0 8677 17052 9 3 74 14 0 2022-04-17T13:35:11
0 1 0 64 25 649 0 0 13040 0 8807 16893 14 5 67 13 0 2022-04-17T13:35:12
2 0 0 50 25 663 0 0 13016 0 8995 17050 7 5 73 14 0 2022-04-17T13:35:13
5 2 0 35 25 675 0 0 12384 248 9626 20141 15 11 60 14 0 2022-04-17T13:35:14
1 1 0 28 25 668 0 0 10268 220 11463 25757 44 25 23 7 0 2022-04-17T13:35:15
