r b swpd free buff cache si so bi bo in cs us sy id wa st CEST
0 0 0 508 24 308 0 0 287 8 2221 4268 5 6 88 1 0 2022-04-12T19:42:17
0 0 0 507 24 308 0 0 0 0 8482 15896 0 2 98 0 0 2022-04-12T19:42:18
0 0 0 507 24 308 0 0 0 0 8540 15831 0 3 97 0 0 2022-04-12T19:42:19
0 0 0 507 24 308 0 0 0 0 8456 15901 0 1 99 0 0 2022-04-12T19:42:20
0 0 0 507 24 308 0 0 0 32 8524 16154 1 2 98 0 0 2022-04-12T19:42:21
0 0 0 507 24 308 0 0 0 0 8224 15755 0 1 99 0 0 2022-04-12T19:42:22
0 0 0 507 24 308 0 0 0 0 8427 15925 0 1 99 0 0 2022-04-12T19:42:23
0 0 0 507 24 308 0 0 0 0 8884 15992 0 1 99 0 0 2022-04-12T19:42:24
0 0 0 507 24 308 0 0 0 0 8647 16426 1 1 98 0 0 2022-04-12T19:42:25
0 0 0 507 24 308 0 0 0 24 8753 16226 0 1 98 0 0 2022-04-12T19:42:26
0 0 0 507 24 308 0 0 0 0 8663 16034 1 0 99 0 0 2022-04-12T19:42:27
0 0 0 507 24 308 0 0 0 0 8346 15842 1 1 98 0 0 2022-04-12T19:42:28
0 0 0 507 24 308 0 0 0 0 8165 15780 0 2 98 0 0 2022-04-12T19:42:29
0 0 0 507 24 308 0 0 0 0 8103 16040 1 1 98 0 0 2022-04-12T19:42:30
0 0 0 507 24 308 0 0 0 28 8318 16238 1 1 98 0 0 2022-04-12T19:42:31
0 0 0 507 24 308 0 0 0 0 8610 15656 0 1 99 0 0 2022-04-12T19:42:32
0 0 0 507 24 308 0 0 0 0 8363 15843 0 1 99 0 0 2022-04-12T19:42:33
0 0 0 507 24 308 0 0 0 0 8458 15781 0 1 98 0 0 2022-04-12T19:42:34
0 0 0 507 24 308 0 0 0 0 8781 15842 0 1 99 0 0 2022-04-12T19:42:35
0 0 0 507 24 308 0 0 0 44 8944 16247 1 1 99 0 0 2022-04-12T19:42:36
0 0 0 507 24 308 0 0 0 0 8386 15796 0 1 99 0 0 2022-04-12T19:42:37
0 0 0 507 24 308 0 0 0 0 8500 15869 0 1 99 0 0 2022-04-12T19:42:39
0 0 0 507 24 308 0 0 0 0 8578 15716 0 1 99 0 0 2022-04-12T19:42:40
0 0 0 507 24 308 0 0 0 0 8514 15809 0 2 98 0 0 2022-04-12T19:42:41
0 0 0 507 24 308 0 0 0 16 9077 16124 0 1 98 0 0 2022-04-12T19:42:42
0 0 0 507 24 308 0 0 0 0 8858 16157 0 30 70 0 0 2022-04-12T19:42:43
0 0 0 507 24 308 0 0 0 0 9043 16423 0 34 66 0 0 2022-04-12T19:42:44
0 0 0 507 24 308 0 0 0 0 8123 16046 0 20 80 0 0 2022-04-12T19:42:45
0 0 0 507 24 308 0 0 0 0 8358 15932 0 3 97 0 0 2022-04-12T19:42:46
0 0 0 507 24 308 0 0 0 16 8815 16497 1 6 93 0 0 2022-04-12T19:42:47
0 0 0 507 24 308 0 0 0 0 8403 15694 0 1 99 0 0 2022-04-12T19:42:48
0 0 0 507 24 308 0 0 0 0 8662 15854 0 1 99 0 0 2022-04-12T19:42:49
0 0 0 507 24 308 0 0 0 0 8619 15863 0 2 98 0 0 2022-04-12T19:42:50
0 0 0 507 24 308 0 0 0 0 8193 15804 0 2 98 0 0 2022-04-12T19:42:51
0 0 0 507 24 308 0 0 0 24 8860 16240 0 3 97 0 0 2022-04-12T19:42:52
0 0 0 507 24 308 0 0 0 0 8484 15811 0 1 99 0 0 2022-04-12T19:42:53
0 0 0 507 24 308 0 0 0 0 8473 15862 1 1 98 0 0 2022-04-12T19:42:54
0 0 0 507 24 308 0 0 0 0 8322 15711 0 1 99 0 0 2022-04-12T19:42:55
0 0 0 507 24 308 0 0 0 0 8449 15884 0 1 99 0 0 2022-04-12T19:42:56
0 0 0 507 24 308 0 0 0 24 9001 16156 1 1 99 0 0 2022-04-12T19:42:57
0 0 0 507 24 308 0 0 0 0 8641 15840 0 0 100 0 0 2022-04-12T19:42:58
0 0 0 507 24 308 0 0 0 0 8342 15824 0 1 99 0 0 2022-04-12T19:42:59
0 0 0 507 24 308 0 0 0 0 8330 15740 0 2 98 0 0 2022-04-12T19:43:00
0 0 0 507 24 308 0 0 0 0 8190 15750 0 2 98 0 0 2022-04-12T19:43:01
0 0 0 507 24 308 0 0 0 16 8877 16475 0 2 98 0 0 2022-04-12T19:43:02
0 0 0 507 24 308 0 0 0 4 8290 15799 1 1 98 0 0 2022-04-12T19:43:03
0 0 0 507 24 308 0 0 0 0 8614 15903 0 1 99 0 0 2022-04-12T19:43:04
0 0 0 507 24 308 0 0 0 0 8666 15848 0 1 99 0 0 2022-04-12T19:43:05
0 0 0 507 24 308 0 0 0 0 8768 16193 1 3 97 0 0 2022-04-12T19:43:06
0 0 0 507 24 308 0 0 0 16 8537 16384 0 11 89 0 0 2022-04-12T19:43:07
0 0 0 507 24 308 0 0 0 0 8413 16073 0 16 84 0 0 2022-04-12T19:43:08
0 0 0 507 24 308 0 0 0 0 8898 16277 0 19 81 0 0 2022-04-12T19:43:09
0 0 0 507 24 308 0 0 0 0 9076 16445 0 38 62 0 0 2022-04-12T19:43:10
0 0 0 507 24 308 0 0 0 0 8815 16633 0 23 77 0 0 2022-04-12T19:43:11
0 0 0 507 24 308 0 0 0 16 8819 16479 0 18 82 0 0 2022-04-12T19:43:12
0 0 0 507 24 308 0 0 0 8 8692 16112 0 6 94 0 0 2022-04-12T19:43:13
0 0 0 507 24 308 0 0 0 0 9001 15924 0 3 97 0 0 2022-04-12T19:43:14
0 0 0 507 24 308 0 0 0 0 8283 15845 0 2 98 0 0 2022-04-12T19:43:15
0 0 0 507 24 308 0 0 0 0 8334 16039 0 1 99 0 0 2022-04-12T19:43:16
0 0 0 507 24 308 0 0 0 16 8196 16382 0 1 98 0 0 2022-04-12T19:43:17
0 0 0 507 24 308 0 0 0 0 8121 15854 0 2 98 0 0 2022-04-12T19:43:18
0 0 0 507 24 308 0 0 0 0 8149 15911 0 1 99 0 0 2022-04-12T19:43:19
0 0 0 507 24 308 0 0 0 0 8146 15836 0 1 99 0 0 2022-04-12T19:43:20
0 0 0 507 24 308 0 0 0 0 8030 15861 0 1 99 0 0 2022-04-12T19:43:21
0 0 0 507 24 308 0 0 0 16 8530 16160 1 1 98 0 0 2022-04-12T19:43:22
0 0 0 507 24 308 0 0 0 8 8184 15731 0 2 98 0 0 2022-04-12T19:43:23
0 0 0 507 24 308 0 0 0 0 8585 15845 0 2 98 0 0 2022-04-12T19:43:24
0 0 0 507 24 308 0 0 76 0 8493 15800 0 1 99 0 0 2022-04-12T19:43:25
0 0 0 507 24 308 0 0 0 0 8693 16453 0 1 99 0 0 2022-04-12T19:43:26
0 0 0 507 24 308 0 0 0 24 8459 16255 1 1 98 0 0 2022-04-12T19:43:27
0 0 0 507 24 308 0 0 0 0 8917 15831 0 1 99 0 0 2022-04-12T19:43:28
0 0 0 507 24 308 0 0 0 0 8469 15976 0 1 99 0 0 2022-04-12T19:43:29
0 0 0 507 24 308 0 0 0 0 8605 15796 0 1 99 0 0 2022-04-12T19:43:30
0 0 0 507 24 308 0 0 0 0 8141 15738 0 1 99 0 0 2022-04-12T19:43:31
0 0 0 507 24 308 0 0 0 16 8791 16212 1 1 98 0 0 2022-04-12T19:43:32
0 0 0 507 24 308 0 0 0 0 8267 15772 0 1 99 0 0 2022-04-12T19:43:33
0 0 0 507 24 308 0 0 0 0 8025 15680 0 1 99 0 0 2022-04-12T19:43:34
0 0 0 507 24 308 0 0 0 0 8199 15835 0 1 99 0 0 2022-04-12T19:43:35
0 0 0 507 24 308 0 0 0 4 8094 15772 0 2 98 0 0 2022-04-12T19:43:36
0 0 0 507 24 308 0 0 0 44 8701 16261 2 1 97 0 0 2022-04-12T19:43:37
0 0 0 507 24 308 0 0 0 4 8234 15742 0 1 99 0 0 2022-04-12T19:43:38
0 0 0 507 24 308 0 0 0 0 8779 15833 0 0 100 0 0 2022-04-12T19:43:39
0 0 0 507 24 308 0 0 0 0 8612 15736 0 1 99 0 0 2022-04-12T19:43:40
0 0 0 507 24 308 0 0 0 0 8859 16706 2 1 97 0 0 2022-04-12T19:43:41
0 0 0 507 24 308 0 0 0 16 8450 16238 1 1 98 0 0 2022-04-12T19:43:42
0 0 0 507 24 308 0 0 0 0 8023 15919 0 1 99 0 0 2022-04-12T19:43:43
